dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered
0,0,0,01-Jan,0,0,0
0,0,0,02-Jan,0,0,0
0,0,0,03-Jan,0,0,0
0,0,0,04-Jan,0,0,0
0,0,0,05-Jan,0,0,0
0,0,0,06-Jan,0,0,0
0,0,0,07-Jan,0,0,0
0,0,0,08-Jan,0,0,0
0,0,0,09-Jan,0,0,0
0,0,0,10-Jan,0,0,0
0,0,0,11-Jan,0,0,0
0,0,0,12-Jan,0,0,0
0,0,0,13-Jan,0,0,0
0,0,0,14-Jan,0,0,0
0,0,0,15-Jan,0,0,0
0,0,0,16-Jan,0,0,0
0,0,0,17-Jan,0,0,0
0,0,0,18-Jan,0,0,0
0,0,0,19-Jan,0,0,0
0,0,0,20-Jan,0,0,0
0,0,0,21-Jan,0,0,0
0,0,0,22-Jan,0,0,0
0,0,0,23-Jan,0,0,0
0,0,0,24-Jan,0,0,0
0,0,0,25-Jan,0,0,0
0,0,0,26-Jan,0,0,0
0,0,0,27-Jan,0,0,0
0,0,0,28-Jan,0,0,0
0,0,0,29-Jan,0,0,0
1,0,0,30-Jan,1,0,0
0,0,0,31-Jan,1,0,0
0,0,0,01-Feb,1,0,0
1,0,0,02-Feb,2,0,0
1,0,0,03-Feb,3,0,0
0,0,0,04-Feb,3,0,0
0,0,0,05-Feb,3,0,0
0,0,0,06-Feb,3,0,0
0,0,0,07-Feb,3,0,0
0,0,0,08-Feb,3,0,0
0,0,0,09-Feb,3,0,0
0,0,0,10-Feb,3,0,0
0,0,0,11-Feb,3,0,0
0,0,0,12-Feb,3,0,0
0,0,1,13-Feb,3,0,1
0,0,0,14-Feb,3,0,1
0,0,0,15-Feb,3,0,1
0,0,1,16-Feb,3,0,2
0,0,0,17-Feb,3,0,2
0,0,0,18-Feb,3,0,2
0,0,0,19-Feb,3,0,2
0,0,1,20-Feb,3,0,3
0,0,0,21-Feb,3,0,3
0,0,0,22-Feb,3,0,3
0,0,0,23-Feb,3,0,3
0,0,0,24-Feb,3,0,3
0,0,0,25-Feb,3,0,3
0,0,0,26-Feb,3,0,3
0,0,0,27-Feb,3,0,3
0,0,0,28-Feb,3,0,3
0,0,0,29-Feb,3,0,3
0,0,0,01-Mar,3,0,3
2,0,0,02-Mar,5,0,3
1,0,0,03-Mar,6,0,3
22,0,0,04-Mar,28,0,3
2,0,0,05-Mar,30,0,3
1,0,0,06-Mar,31,0,3
3,0,0,07-Mar,34,0,3
5,0,0,08-Mar,39,0,3
9,0,0,09-Mar,48,0,3
15,0,1,10-Mar,63,0,4
8,0,0,11-Mar,71,0,4
10,1,0,12-Mar,81,1,4
10,0,6,13-Mar,91,1,10
11,1,0,14-Mar,102,2,10
10,0,3,15-Mar,112,2,13
14,0,1,16-Mar,126,2,14
20,1,1,17-Mar,146,3,15
25,0,0,18-Mar,171,3,15
27,1,5,19-Mar,198,4,20
58,0,3,20-Mar,256,4,23
78,0,0,21-Mar,334,4,23
69,3,0,22-Mar,403,7,23
94,2,2,23-Mar,497,9,25
74,1,15,24-Mar,571,10,40
86,1,3,25-Mar,657,11,43
73,5,7,26-Mar,730,16,50
153,3,25,27-Mar,883,19,75
136,5,10,28-Mar,1019,24,85
120,3,17,29-Mar,1139,27,102
187,14,35,30-Mar,1326,41,137
309,6,13,31-Mar,1635,47,150
424,6,19,01-Apr,2059,53,169
486,16,22,02-Apr,2545,69,191
560,14,39,03-Apr,3105,83,230
579,13,56,04-Apr,3684,96,286
609,22,43,05-Apr,4293,118,329
484,16,65,06-Apr,4777,134,394
573,27,75,07-Apr,5350,161,469
565,20,96,08-Apr,5915,181,565
813,46,70,09-Apr,6728,227,635
871,22,151,10-Apr,7599,249,786
854,41,186,11-Apr,8453,290,972
758,42,114,12-Apr,9211,332,1086
1243,27,112,13-Apr,10454,359,1198
1031,37,167,14-Apr,11485,396,1365
886,27,144,15-Apr,12371,423,1509
1061,26,258,16-Apr,13432,449,1767
922,38,273,17-Apr,14354,487,2040
1371,35,426,18-Apr,15725,522,2466
1580,38,388,19-Apr,17305,560,2854
1239,33,419,20-Apr,18544,593,3273
1537,53,703,21-Apr,20081,646,3976
1292,36,394,22-Apr,21373,682,4370
1667,40,642,23-Apr,23040,722,5012
1408,59,484,24-Apr,24448,781,5496
1835,44,442,25-Apr,26283,825,5938
1607,56,585,26-Apr,27890,881,6523
1568,58,580,27-Apr,29458,939,7103
1902,69,636,28-Apr,31360,1008,7739
1705,71,690,29-Apr,33065,1079,8429
1801,75,630,30-Apr,34866,1154,9059
2396,77,962,01-May,37262,1231,10021
2564,92,831,02-May,39826,1323,10852
2952,140,911,03-May,42778,1463,11763
3656,103,1082,04-May,46434,1566,12845
2971,128,1295,05-May,49405,1694,14140
3602,91,1161,06-May,53007,1785,15301
3344,104,1475,07-May,56351,1889,16776
3339,97,1111,08-May,59690,1986,17887
3175,115,1414,09-May,62865,2101,19301
4311,112,1669,10-May,67176,2213,20970
3592,81,1579,11-May,70768,2294,22549
3562,120,1905,12-May,74330,2414,24454
3726,137,1963,13-May,78056,2551,26417
3991,97,1594,14-May,82047,2648,28011
3808,104,2234,15-May,85855,2752,30245
4794,120,4012,16-May,90649,2872,34257
5049,152,2538,17-May,95698,3024,36795
4628,131,2482,18-May,100326,3155,39277
6154,146,3032,19-May,106480,3301,42309
5720,134,3113,20-May,112200,3435,45422
6023,148,3131,21-May,118223,3583,48553
6536,142,3280,22-May,124759,3725,51833
6667,142,2576,23-May,131424,3867,54409
7111,156,3285,24-May,138537,4023,57694
6414,150,3012,25-May,144951,4173,60706
5907,173,3585,26-May,150858,4346,64291
7246,188,3434,27-May,158104,4534,67725
7254,176,3171,28-May,165358,4710,70896
8138,269,3737,29-May,173496,4979,82631
8364,205,4303,30-May,181860,5184,86934
8789,222,4928,31-May,190649,5406,91862
7723,201,3882,01-Jun,198372,5607,95744
8815,222,4531,02-Jun,207187,5829,100275
9689,259,3789,03-Jun,216876,6088,104064
9847,274,4390,04-Jun,226723,6362,108454
9472,286,4770,05-Jun,236195,6648,113224
10408,297,5433,06-Jun,246603,6945,118657
10882,261,5191,07-Jun,257485,7206,123848
8536,271,5171,08-Jun,266021,7477,129019
9981,272,5634,09-Jun,276002,7749,134653
11156,358,6275,10-Jun,287158,8107,140928
11135,394,6044,11-Jun,298293,8501,146972
11306,388,7263,12-Jun,309599,8889,154235
12039,309,8092,13-Jun,321638,9198,162327
11405,324,7358,14-Jun,333043,9522,169685
10032,396,10639,15-Jun,343075,9918,180324
